,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_alpha_cere,param_alpha_cor,param_lambda_cere,param_lambda_cor,param_rank,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0,1097.7177622318268,41.65023684085808,0.11230063438415527,0.00641860090527052,0.1,0.1,0.1,0.1,1,"{'alpha_cere': 0.1, 'alpha_cor': 0.1, 'lambda_cere': 0.1, 'lambda_cor': 0.1, 'rank': 1}",-0.13099680040645126,-0.10258560060351911,-0.16074486424850326,-0.13144242175282453,0.023745510743716752,29
1,1090.2775257428486,72.39412791279022,0.16844987869262695,0.04395834980952752,0.1,0.1,0.1,1,1,"{'alpha_cere': 0.1, 'alpha_cor': 0.1, 'lambda_cere': 0.1, 'lambda_cor': 1, 'rank': 1}",-0.13155612865308317,-0.10277784315234849,-0.16295855204690426,-0.13243084128411198,0.02457645583891186,73
2,1598.7489000161488,221.79494352278746,0.17220624287923178,0.033639756591848514,0.1,0.1,0.1,100,1,"{'alpha_cere': 0.1, 'alpha_cor': 0.1, 'lambda_cere': 0.1, 'lambda_cor': 100, 'rank': 1}",-0.13299872695258114,-0.10643366807250898,-0.17066846417963247,-0.1367002864015742,0.02635404351640375,345
3,1143.7218786875408,38.37771346799099,0.1271653970082601,0.0050541823431026305,0.1,0.1,0.1,1000,1,"{'alpha_cere': 0.1, 'alpha_cor': 0.1, 'lambda_cere': 0.1, 'lambda_cor': 1000, 'rank': 1}",-0.13330032729030436,-0.10733936691049042,-0.17684510009026524,-0.13916159809702,0.02867667586287685,371
4,766.6238791942596,37.04618112403199,0.11568641662597656,0.008877611073325466,0.1,0.1,1,0.1,1,"{'alpha_cere': 0.1, 'alpha_cor': 0.1, 'lambda_cere': 1, 'lambda_cor': 0.1, 'rank': 1}",-0.13100996030778142,-0.10257824307944625,-0.16058163005694098,-0.13138994448138955,0.023681307905806154,16
5,616.6557281017303,29.836492645198113,0.1331789493560791,0.01778120504274995,0.1,0.1,1,1,1,"{'alpha_cere': 0.1, 'alpha_cor': 0.1, 'lambda_cere': 1, 'lambda_cor': 1, 'rank': 1}",-0.13158628437672087,-0.10295194381808226,-0.16208693729945323,-0.13220838849808544,0.024145767381521355,54
6,780.2817452748617,32.532641129505755,0.13696726163228354,0.008782729532346227,0.1,0.1,1,100,1,"{'alpha_cere': 0.1, 'alpha_cor': 0.1, 'lambda_cere': 1, 'lambda_cor': 100, 'rank': 1}",-0.13238667647844918,-0.10459426433984821,-0.16542467142091083,-0.1341352040797361,0.0248646686148746,186
7,799.6073704560598,30.132149515350882,0.13565953572591147,0.009379357579947215,0.1,0.1,1,1000,1,"{'alpha_cere': 0.1, 'alpha_cor': 0.1, 'lambda_cere': 1, 'lambda_cor': 1000, 'rank': 1}",-0.13253447663914675,-0.10463403290498445,-0.1683110558625375,-0.13515985513555626,0.02606223669566424,265
8,397.81439836819965,31.13517232736563,0.16129144032796225,0.029222477899485153,0.1,0.1,100,0.1,1,"{'alpha_cere': 0.1, 'alpha_cor': 0.1, 'lambda_cere': 100, 'lambda_cor': 0.1, 'rank': 1}",-0.13190583039490622,-0.10319564629104601,-0.16050871012447124,-0.13187006227014117,0.02339797400079233,43
9,502.16128238042194,80.92465580069661,0.24152000745137533,0.048256903932267156,0.1,0.1,100,1,1,"{'alpha_cere': 0.1, 'alpha_cor': 0.1, 'lambda_cere': 100, 'lambda_cor': 1, 'rank': 1}",-0.1326725501558083,-0.10420826132191699,-0.16157593234978587,-0.1328189146091704,0.023420482299408393,86
