,sn,params,model,trainMode,xname,Rcv,Rnc,Ry,Rp,splits,spIdx,ginni
0,group,1.0,l2regress,crossed,tesselsWB162,0.5104437829569944,0.5199083485522917,1.0,0.7584939053606408,1,0.014027541229601313,0.42456247901418304
1,group,1.8738174228603839,l2regress,crossed,tesselsWB162,0.5348218254873275,0.5518499521638763,1.0,0.7874422087657138,1,0.014278322624447311,0.42580685381861005
2,group,3.511191734215131,l2regress,crossed,tesselsWB162,0.5552155949275301,0.5793401970209546,1.0,0.8184608627666475,1,0.014630818858336395,0.4269691340478456
3,group,6.579332246575679,l2regress,crossed,tesselsWB162,0.5704287501453477,0.6004844147716276,1.0,0.8474682517189636,1,0.015091540234585244,0.4278391467467813
4,group,12.32846739442066,l2regress,crossed,tesselsWB162,0.581588430540309,0.6162028361964983,1.0,0.8716127726548479,1,0.01557701441801576,0.4282511228477391
5,group,23.101297000831593,l2regress,crossed,tesselsWB162,0.5905882853308942,0.628981539776743,1.0,0.8900287412800286,1,0.015913471542304707,0.42776831903682394
6,group,43.28761281083057,l2regress,crossed,tesselsWB162,0.5987123765048499,0.641301990554758,1.0,0.9032142988679518,1,0.01595333347301071,0.4263381713005382
7,group,81.11308307896869,l2regress,crossed,tesselsWB162,0.6059727275131211,0.6543691111906516,1.0,0.9117447358409178,1,0.015645184715273347,0.42446051597509193
8,group,151.99110829529332,l2regress,crossed,tesselsWB162,0.6108948636940452,0.6675094562740448,1.0,0.9149828782796279,1,0.015027175091618373,0.42254089034758613
9,group,284.8035868435799,l2regress,crossed,tesselsWB162,0.6109193247816449,0.6785287409702121,1.0,0.9109192606092581,1,0.014212613886432133,0.42056102275614854
10,group,533.6699231206308,l2regress,crossed,tesselsWB162,0.6033494441803644,0.68467015171859,1.0,0.8972202350690558,1,0.013326657482471013,0.41722873813111716
11,group,1000.0,l2regress,crossed,tesselsWB162,0.585937989446295,0.6830387794097044,1.0,0.8724385818041576,1,0.012421890677423938,0.4102596064802303
12,group,1.0,plsregress,crossed,tesselsWB162,0.3228395832338606,0.4682335254175699,1.0,0.7218972087492926,1,0.005048947490375131,0.1843873527137128
13,group,2.0,plsregress,crossed,tesselsWB162,0.4842996201027606,0.597589405945372,1.0,0.8193671332445065,1,0.00860360166477051,0.33647759536250715
14,group,3.0,plsregress,crossed,tesselsWB162,0.5065251585310484,0.6166073859818515,1.0,0.8298405143306274,1,0.009023797528884938,0.3624931660482049
15,group,4.0,plsregress,crossed,tesselsWB162,0.5431301613262915,0.6148031519889695,1.0,0.8933803148178564,1,0.010675455650990963,0.39282311024516653
