,sn,params,model,trainMode,xname,Rcv,Rnc,Ry,Rp,splits,spIdx,ginni
0,2,1.0,l2regress,crossed,tesselsWB162,0.07460479279599672,0.07601627110216756,1.0,0.3606770968176969,1,0.013684919464755625,0.4213183911596977
1,2,1.8738174228603839,l2regress,crossed,tesselsWB162,0.0794263145764077,0.08280932912395314,1.0,0.3730701237746059,1,0.01374087095554068,0.42184147776785513
2,2,3.511191734215131,l2regress,crossed,tesselsWB162,0.08639110340069427,0.09281713558585131,1.0,0.39024606900173975,1,0.013836873953578811,0.42258102117454716
3,2,6.579332246575679,l2regress,crossed,tesselsWB162,0.09553683932716693,0.10629970078545825,1.0,0.4107764564084265,1,0.013995609856192897,0.4235376211262219
4,2,12.32846739442066,l2regress,crossed,tesselsWB162,0.1065782401881293,0.12307261661598858,1.0,0.432217039155854,1,0.014232719352231438,0.4246807265520392
5,2,23.101297000831593,l2regress,crossed,tesselsWB162,0.11912105604140372,0.14279989329849996,1.0,0.4531286767843714,1,0.014513449355076133,0.4258511577231451
6,2,43.28761281083057,l2regress,crossed,tesselsWB162,0.1327988876227784,0.16528833085077466,1.0,0.47395404458407536,1,0.01477004479974035,0.42677598401839817
7,2,81.11308307896869,l2regress,crossed,tesselsWB162,0.14700101118304515,0.1901150688163819,1.0,0.49615644445920143,1,0.014898411525905502,0.42725001834489734
8,2,151.99110829529332,l2regress,crossed,tesselsWB162,0.16038588703028117,0.21555044182498728,1.0,0.5204370963106211,1,0.01484339199464936,0.4269981217982435
9,2,284.8035868435799,l2regress,crossed,tesselsWB162,0.17102544203194514,0.23833385245538452,1.0,0.5448538712224628,1,0.01458518242545969,0.42535650236235506
10,2,533.6699231206308,l2regress,crossed,tesselsWB162,0.17723622230849798,0.2551747979948862,1.0,0.564621810848262,1,0.014123588140000287,0.42173849341608166
11,2,1000.0,l2regress,crossed,tesselsWB162,0.17824735928201035,0.26446746691379386,1.0,0.5738757906597073,1,0.013519322695759561,0.41658212586522314
12,3,1.0,l2regress,crossed,tesselsWB162,0.11847879293051697,0.10055505396808183,1.0,0.3917189205174306,1,0.01376650418327866,0.4215316868786229
