StudyNum	taskNum	taskNumUni	condNum	condNumUni	taskName	condName	overlap	trialType	duration	inst
1	 0	 0	 0	 0	Instruct          	Instruct         	0	 0	   5	1
1	 1	 1	 1	 1	GoNoGo            	NoGo             	0	 1	   1	0
1	 1	 1	 2	 2	GoNoGo            	Go               	0	 2	   1	0
1	 0	 0	 0	 0	Instruct          	Instruct         	1	 0	   5	1
1	 2	 2	 3	 3	ToM               	ToM              	1	 1	  30	0
1	 0	 0	 0	 0	Instruct          	Instruct         	1	 0	   5	1
1	 3	 3	 4	 4	actionObservation 	VideoAct         	1	 1	  15	0
1	 3	 3	 5	 5	actionObservation 	VideoKnots       	1	 2	  15	0
1	 0	 0	 0	 0	Instruct          	Instruct         	0	 0	   5	1
1	 4	 4	 6	 6	affective         	UnpleasantScenes 	0	 1	   2	0
1	 4	 4	 7	 7	affective         	PleasantScenes   	0	 2	   2	0
1	 0	 0	 0	 0	Instruct          	Instruct         	0	 0	   5	1
1	 5	 5	 8	 8	arithmetic        	Math             	0	 1	   3	0
1	 5	 5	 9	 9	arithmetic        	DigitJudgement   	0	 2	   3	0
1	 0	 0	 0	 0	Instruct          	Instruct         	0	 0	   5	1
1	 6	 6	10	10	checkerBoard      	CheckerBoard     	0	 1	   4	0
1	 0	 0	 0	 0	Instruct          	Instruct         	0	 0	   5	1
1	 7	 7	11	11	emotional         	SadFaces         	0	 1	   2	0
1	 7	 7	12	12	emotional         	HappyFaces       	0	 2	   2	0
1	 0	 0	 0	 0	Instruct          	Instruct         	0	 0	   5	1
1	 8	 8	13	13	intervalTiming    	IntervalTiming   	0	 1	   2	0
1	 0	 0	 0	 0	Instruct          	Instruct         	0	 0	   5	1
1	 9	 9	14	14	motorImagery      	MotorImagery     	0	 1	  30	0
1	 0	 0	 0	 0	Instruct          	Instruct         	1	 0	   5	1
1	10	10	15	15	motorSequence     	FingerSimple     	1	 1	3.75	0
1	10	10	16	16	motorSequence     	FingerSeq        	1	 2	3.75	0
1	 0	 0	 0	 0	Instruct          	Instruct         	0	 0	   5	1
1	11	11	17	17	nBack             	Verbal0Back      	0	 0	   2	0
1	11	11	18	18	nBack             	Verbal2Back      	0	 1	   2	0
1	 0	 0	 0	 0	Instruct          	Instruct         	1	 0	   5	1
1	12	12	19	19	nBackPic          	Object0Back      	1	 0	   2	0
1	12	12	20	20	nBackPic          	Object2Back      	1	 1	   2	0
1	 0	 0	 0	 0	Instruct          	Instruct         	1	 0	   5	1
1	13	13	21	21	spatialNavigation 	SpatialNavigation	1	 1	  30	0
1	 0	 0	 0	 0	Instruct          	Instruct         	0	 0	   5	1
1	14	14	22	22	stroop            	StroopIncon      	0	 1	   2	0
1	14	14	23	23	stroop            	StroopCon        	0	 2	   2	0
1	 0	 0	 0	 0	Instruct          	Instruct         	1	 0	   5	1
1	15	15	24	24	verbGeneration    	VerbGen          	1	 1	   2	0
1	15	15	25	25	verbGeneration    	WordRead         	1	 2	   2	0
1	 0	 0	 0	 0	Instruct          	Instruct         	1	 0	   5	1
1	16	16	26	26	visualSearch      	VisualSearchSmall	1	 4	   2	0
1	16	16	27	27	visualSearch      	VisualSearchMed  	1	 8	   2	0
1	16	16	28	28	visualSearch      	VisualSearchLarge	1	12	   2	0
1	 0	 0	 0	 0	Instruct          	Instruct         	1	 0	   5	1
1	17	17	29	29	rest              	rest             	1	 1	  30	0
2	 0	 0	 0	 0	Instruct          	Instruct         	0	 0	   5	1
2	 1	18	 1	30	CPRO              	CPRO             	0	 1	  30	0
2	 0	 0	 0	 0	Instruct          	Instruct         	0	 0	   5	1
2	 2	19	 2	31	prediction        	Prediction       	0	 1	   5	0
2	 2	19	 3	32	prediction        	PredictViol      	0	 2	   5	0
2	 2	19	 4	33	prediction        	PredictScram     	0	 3	   5	0
2	 0	 0	 0	 0	Instruct          	Instruct         	1	 0	   5	1
2	 3	20	 5	34	verbGeneration2   	VerbGen          	1	 1	   2	0
2	 3	20	 6	35	verbGeneration2   	WordRead         	1	 2	   2	0
2	 0	 0	 0	 0	Instruct          	Instruct         	1	 0	   5	1
2	 4	21	 7	36	spatialNavigation2	SpatialNavigation	1	 1	  30	0
2	 0	 0	 0	 0	Instruct          	Instruct         	0	 0	   5	1
2	 5	22	 8	37	spatialMap        	SpatialMapEasy   	0	 1	   5	0
2	 5	22	 9	38	spatialMap        	SpatialMapMed    	0	 2	   5	0
2	 5	22	10	39	spatialMap        	SpatialMedDiff   	0	 3	   5	0
2	 0	 0	 0	 0	Instruct          	Instruct         	0	 0	   5	1
2	 6	23	11	40	natureMovie       	NatureMovie      	0	 1	  30	0
2	 0	 0	 0	 0	Instruct          	Instruct         	0	 0	   5	1
2	 7	24	12	41	romanceMovie      	RomanceMovie     	0	 1	  30	0
2	 0	 0	 0	 0	Instruct          	Instruct         	0	 0	   5	1
2	 8	25	13	42	landscapeMovie    	LandscapeMovie   	0	 1	  30	0
2	 0	 0	 0	 0	Instruct          	Instruct         	1	 0	   5	1
2	 9	26	14	43	motorSequence2    	FingerSimple     	1	 1	3.75	0
2	 9	26	15	44	motorSequence2    	FingerSeq        	1	 2	3.75	0
2	 0	 0	 0	 0	Instruct          	Instruct         	0	 0	   5	1
2	10	27	16	45	mentalRotation    	MentalRotEasy    	0	 1	3.33	0
2	10	27	17	46	mentalRotation    	MentalRotMed     	0	 2	3.33	0
2	10	27	18	47	mentalRotation    	MentalRotDiff    	0	 3	3.33	0
2	 0	 0	 0	 0	Instruct          	Instruct         	1	 0	   5	1
2	11	28	19	48	nBackPic2         	Object0Back      	1	 1	   2	0
2	11	28	20	49	nBackPic2         	Object2Back      	1	 2	   2	0
2	 0	 0	 0	 0	Instruct          	Instruct         	0	 0	   5	1
2	12	29	21	50	emotionProcess    	BodyMotionIntact 	0	 1	   3	0
2	12	29	22	51	emotionProcess    	BodyMotionScram  	0	 2	   3	0
2	 0	 0	 0	 0	Instruct          	Instruct         	0	 0	   5	1
2	13	30	23	52	respAlt           	RespAltEasy      	0	 1	   5	0
2	13	30	24	53	respAlt           	RespAltMed       	0	 2	   5	0
2	13	30	25	54	respAlt           	RespAltDiff      	0	 3	   5	0
2	 0	 0	 0	 0	Instruct          	Instruct         	1	 0	   5	1
2	14	31	26	55	visualSearch2     	VisualSearchSmall	1	 1	   2	0
2	14	31	27	56	visualSearch2     	VisualSearchMed  	1	 2	   2	0
2	14	31	28	57	visualSearch2     	VisualSearchLarge	1	 3	   2	0
2	 0	 0	 0	 0	Instruct          	Instruct         	1	 0	   5	1
2	15	32	29	58	ToM2              	ToM              	1	 1	  30	0
2	 0	 0	 0	 0	Instruct          	Instruct         	1	 0	   5	1
2	16	33	30	59	actionObservation2	VideoAct         	1	 1	  15	0
2	16	33	31	60	actionObservation2	VideoKnots       	1	 2	  15	0
2	 0	 0	 0	 0	Instruct          	Instruct         	1	 0	   5	1
2	17	34	32	61	rest2             	rest             	1	 1	  30	0
