,conn_type,model,modelNum,numtessels,atlas,sub,logalpha,Rin,Rout
0,one2one,ridge,0,304,tessels0162,s02,8.0,0.35571649397054655,0.31109307924365176
1,one2one,lasso,1,304,tessels0162,s02,-1.0,0.3716067735602259,0.3420889902254859
2,one2one,WTA_old,2,304,tessels0162,s02,,0.1689545703338977,0.13782629380388203
3,one2one,WTA,3,304,tessels0162,s02,,0.39341392372768796,0.36542128958593983
4,one2one,ridge,0,304,tessels0162,s03,8.0,0.36473530130176407,0.3311965715684206
5,one2one,lasso,1,304,tessels0162,s03,-1.0,0.37404418915599286,0.3473497874333905
6,one2one,WTA_old,2,304,tessels0162,s03,,0.19388561254132972,0.19469586580659812
7,one2one,WTA,3,304,tessels0162,s03,,0.390961992509736,0.36523076881699973
8,one2one,ridge,0,304,tessels0162,s04,8.0,0.3668083790963784,0.32514270560718084
9,one2one,lasso,1,304,tessels0162,s04,-1.0,0.372909204180894,0.3408297890538345
10,one2one,WTA_old,2,304,tessels0162,s04,,0.2201102443278459,0.19877012527636861
11,one2one,WTA,3,304,tessels0162,s04,,0.38689193699105845,0.35456865090372486
12,one2one,ridge,0,304,tessels0162,s06,8.0,0.3579159342636884,0.3192087804007218
13,one2one,lasso,1,304,tessels0162,s06,-1.0,0.37204353807701096,0.34664693034031374
14,one2one,WTA_old,2,304,tessels0162,s06,,0.1234522836649274,0.12058733151474918
15,one2one,WTA,3,304,tessels0162,s06,,0.3944680566218743,0.37280857517363203
16,one2one,ridge,0,304,tessels0162,s08,8.0,0.37056829741480185,0.3254225467054693
17,one2one,lasso,1,304,tessels0162,s08,-1.0,0.3712791827392898,0.3316764074201902
18,one2one,WTA_old,2,304,tessels0162,s08,,0.23528237160384516,0.17571931518792785
19,one2one,WTA,3,304,tessels0162,s08,,0.38547413971602523,0.3445915760809231
20,one2one,ridge,0,304,tessels0162,s09,8.0,0.37343517179684416,0.32081696428029327
21,one2one,lasso,1,304,tessels0162,s09,-1.0,0.3737468138843467,0.32933950038517906
22,one2one,WTA_old,2,304,tessels0162,s09,,0.258946279805263,0.1530561790438885
23,one2one,WTA,3,304,tessels0162,s09,,0.3827951927059395,0.3313199135491562
24,one2one,ridge,0,304,tessels0162,s10,8.0,0.36389227508982147,0.3161952575904501
25,one2one,lasso,1,304,tessels0162,s10,-1.0,0.36887819040786657,0.3365324615584335
26,one2one,WTA_old,2,304,tessels0162,s10,,0.2012915746001628,0.12880321825004828
27,one2one,WTA,3,304,tessels0162,s10,,0.3860170604156346,0.34996840821426395
28,one2one,ridge,0,304,tessels0162,s12,8.0,0.3623286678930149,0.32140276702245163
