,conn_type,model,modelNum,numtessels,atlas,sub,logalpha,Rin,Rout
0,one2one,ridge,0,304,tessels0162,s02,8.0,0.2970190323957091,0.2559574302707363
1,one2one,lasso,1,304,tessels0162,s02,-3.0,0.29179396157124093,0.25983094958898917
2,one2one,WTA,2,304,tessels0162,s02,,0.3141424533445456,0.27659040754473224
3,one2one,ridge,0,304,tessels0162,s03,8.0,0.30239496920771014,0.28304289549221034
4,one2one,lasso,1,304,tessels0162,s03,-3.0,0.29170955617986893,0.275169272055557
5,one2one,WTA,2,304,tessels0162,s03,,0.31226803656536817,0.294130814881942
6,one2one,ridge,0,304,tessels0162,s04,8.0,0.3026809589793881,0.2729336582816982
7,one2one,lasso,1,304,tessels0162,s04,-3.0,0.29239166618241874,0.2672563809119738
8,one2one,WTA,2,304,tessels0162,s04,,0.30892222727516544,0.28348995305050506
9,one2one,ridge,0,304,tessels0162,s06,8.0,0.2953763603791303,0.26291489472386737
10,one2one,lasso,1,304,tessels0162,s06,-3.0,0.2932674717726281,0.26718351234816956
11,one2one,WTA,2,304,tessels0162,s06,,0.31787150505711625,0.29220205436803637
12,one2one,ridge,0,304,tessels0162,s08,8.0,0.3143833929515494,0.27523017762045787
13,one2one,lasso,1,304,tessels0162,s08,-3.0,0.295082044912869,0.25949970951180173
14,one2one,WTA,2,304,tessels0162,s08,,0.3145596504403283,0.27082533257602315
15,one2one,ridge,0,304,tessels0162,s09,8.0,0.3162914848489182,0.2675166428034259
16,one2one,lasso,1,304,tessels0162,s09,-3.0,0.29856752214774485,0.25120886362769307
17,one2one,WTA,2,304,tessels0162,s09,,0.3140717665803254,0.2621596401268365
18,one2one,ridge,0,304,tessels0162,s10,8.0,0.30579187340795566,0.2610659996053639
19,one2one,lasso,1,304,tessels0162,s10,-3.0,0.2949505925791207,0.2565901197104231
20,one2one,WTA,2,304,tessels0162,s10,,0.31322735669558555,0.27070370085738166
21,one2one,ridge,0,304,tessels0162,s12,8.0,0.30155310432522503,0.2636413486108196
22,one2one,lasso,1,304,tessels0162,s12,-3.0,0.2915772556896594,0.26020089482152114
23,one2one,WTA,2,304,tessels0162,s12,,0.3121704580680884,0.27753387604540514
24,one2one,ridge,0,304,tessels0162,s14,8.0,0.3138011708030463,0.2127403627825523
25,one2one,lasso,1,304,tessels0162,s14,-3.0,0.2984758428707252,0.21538601636500745
26,one2one,WTA,2,304,tessels0162,s14,,0.3170859773537082,0.2183582165610619
27,one2one,ridge,0,304,tessels0162,s15,8.0,0.2939650672960077,0.27916155273158144
28,one2one,lasso,1,304,tessels0162,s15,-3.0,0.2873216616397073,0.27568096074608045
29,one2one,WTA,2,304,tessels0162,s15,,0.3067409919705208,0.29734393778094603
30,one2one,ridge,0,304,tessels0162,s17,8.0,0.29444256238950584,0.25933650635856365
31,one2one,lasso,1,304,tessels0162,s17,-3.0,0.2908812061708681,0.2652028616955023
32,one2one,WTA,2,304,tessels0162,s17,,0.3171389081480506,0.2916344363698675
33,one2one,ridge,0,304,tessels0162,s18,8.0,0.28210164610110855,0.248184327471594
34,one2one,lasso,1,304,tessels0162,s18,-3.0,0.2856944615228086,0.2591777787781393
35,one2one,WTA,2,304,tessels0162,s18,,0.306971908842207,0.28239467237392873
36,one2one,ridge,0,304,tessels0162,s19,8.0,0.304450175837995,0.2714241949590317
37,one2one,lasso,1,304,tessels0162,s19,-3.0,0.294184590672254,0.26039813854494537
38,one2one,WTA,2,304,tessels0162,s19,,0.3113362889212939,0.27889975412712453
39,one2one,ridge,0,304,tessels0162,s20,8.0,0.3098189349739116,0.2831532689536079
40,one2one,lasso,1,304,tessels0162,s20,-3.0,0.29305070481793966,0.2686506242775183
41,one2one,WTA,2,304,tessels0162,s20,,0.30862289636181023,0.28366000008651926
42,one2one,ridge,0,304,tessels0162,s21,8.0,0.29402096162155944,0.28778699597821006
43,one2one,lasso,1,304,tessels0162,s21,-3.0,0.29049483588834524,0.2844690886923859
44,one2one,WTA,2,304,tessels0162,s21,,0.3141380268467553,0.312743729994042
45,one2one,ridge,0,304,tessels0162,s22,8.0,0.2926519734666516,0.2505007582197832
46,one2one,lasso,1,304,tessels0162,s22,-3.0,0.29053162154091994,0.25835099068109857
47,one2one,WTA,2,304,tessels0162,s22,,0.31471911303650246,0.2835055817639552
48,one2one,ridge,0,304,tessels0162,s24,8.0,0.3009129499860363,0.2793425417933687
49,one2one,lasso,1,304,tessels0162,s24,-3.0,0.2926757851041528,0.27112399526597114
50,one2one,WTA,2,304,tessels0162,s24,,0.30904701731258366,0.28626125841802125
51,one2one,ridge,0,304,tessels0162,s25,8.0,0.298338867991169,0.2876958135692984
52,one2one,lasso,1,304,tessels0162,s25,-3.0,0.29249317100863137,0.27942115433721176
53,one2one,WTA,2,304,tessels0162,s25,,0.3086940522219789,0.3021546509911484
54,one2one,ridge,0,304,tessels0162,s26,8.0,0.2995427582426965,0.2734317618003969
55,one2one,lasso,1,304,tessels0162,s26,-3.0,0.2903813919533263,0.2674790655206117
56,one2one,WTA,2,304,tessels0162,s26,,0.3098993570100161,0.2861200681271637
57,one2one,ridge,0,304,tessels0162,s27,8.0,0.31648670551289043,0.285474963334903
58,one2one,lasso,1,304,tessels0162,s27,-3.0,0.297655562673344,0.2661310059828725
59,one2one,WTA,2,304,tessels0162,s27,,0.31638935795337775,0.2830939593976203
60,one2one,ridge,0,304,tessels0162,s28,8.0,0.2960458057364319,0.2333072240991095
61,one2one,lasso,1,304,tessels0162,s28,-3.0,0.2920299153277266,0.24348729840803537
62,one2one,WTA,2,304,tessels0162,s28,,0.31381099187195627,0.2593925365586876
63,one2one,ridge,0,304,tessels0162,s29,8.0,0.2974140682985815,0.2904224681526756
64,one2one,lasso,1,304,tessels0162,s29,-3.0,0.28682658412582607,0.27896687560202765
65,one2one,WTA,2,304,tessels0162,s29,,0.3004397002494277,0.29843295320271335
66,one2one,ridge,0,304,tessels0162,s30,8.0,0.27538647418292356,0.2317356018955308
67,one2one,lasso,1,304,tessels0162,s30,-3.0,0.27989698473753893,0.2526926232144741
68,one2one,WTA,2,304,tessels0162,s30,,0.3086021990943985,0.2788669352242574
69,one2one,ridge,0,304,tessels0162,s31,8.0,0.2823123760859669,0.2476355069385427
70,one2one,lasso,1,304,tessels0162,s31,-3.0,0.28395169632816,0.2583988939663113
71,one2one,WTA,2,304,tessels0162,s31,,0.30766755371049903,0.28378295840146556
72,sparse,ridge,0,304,tessels0162,s02,12.0,0.3525876951600222,0.32268785951232454
73,sparse,lasso,1,304,tessels0162,s02,-3.0,0.29406795006631387,0.25162471641328216
74,sparse,WTA,2,304,tessels0162,s02,,0.27141394039844996,0.21938129276589757
75,sparse,ridge,0,304,tessels0162,s03,12.0,0.3597412086437461,0.35926208516811386
76,sparse,lasso,1,304,tessels0162,s03,-3.0,0.300086161220654,0.30369800352691784
77,sparse,WTA,2,304,tessels0162,s03,,0.2889184961123056,0.28261203503849147
78,sparse,ridge,0,304,tessels0162,s04,12.0,0.3579983324819556,0.34230865244467956
79,sparse,lasso,1,304,tessels0162,s04,-3.0,0.30237517090464594,0.2747095968883582
80,sparse,WTA,2,304,tessels0162,s04,,0.2941069126460548,0.25344713908141975
81,sparse,ridge,0,304,tessels0162,s06,12.0,0.3358171057896017,0.33612005107378223
82,sparse,lasso,1,304,tessels0162,s06,-3.0,0.27593539738130146,0.26459371821511285
83,sparse,WTA,2,304,tessels0162,s06,,0.25407497711775695,0.23119252927170894
84,sparse,ridge,0,304,tessels0162,s08,12.0,0.3641968562217104,0.3070828866294852
85,sparse,lasso,1,304,tessels0162,s08,-3.0,0.3084171812586067,0.23821779070252821
86,sparse,WTA,2,304,tessels0162,s08,,0.3088738280396158,0.22245757247110393
87,sparse,ridge,0,304,tessels0162,s09,12.0,0.36295774191356267,0.2819354064573504
88,sparse,lasso,1,304,tessels0162,s09,-3.0,0.3054603875936829,0.20245720927655808
89,sparse,WTA,2,304,tessels0162,s09,,0.30299473927528797,0.18539755923290258
90,sparse,ridge,0,304,tessels0162,s10,12.0,0.3549441131653637,0.28489416459981776
91,sparse,lasso,1,304,tessels0162,s10,-3.0,0.29759137480157977,0.21271245094621896
92,sparse,WTA,2,304,tessels0162,s10,,0.28727959222406924,0.1901842971855358
93,sparse,ridge,0,304,tessels0162,s12,12.0,0.3540496941912311,0.2895899949004195
94,sparse,lasso,1,304,tessels0162,s12,-3.0,0.2933080828336721,0.2187708634567206
95,sparse,WTA,2,304,tessels0162,s12,,0.28187440259074087,0.19723797752171532
96,sparse,ridge,0,304,tessels0162,s14,12.0,0.36057091238956646,0.2264995262028054
97,sparse,lasso,1,304,tessels0162,s14,-3.0,0.3052185021794894,0.14669260525198255
98,sparse,WTA,2,304,tessels0162,s14,,0.30447087321052435,0.11882419501672561
99,sparse,ridge,0,304,tessels0162,s15,12.0,0.35672211642840307,0.3656432184107635
100,sparse,lasso,1,304,tessels0162,s15,-3.0,0.2981437194878446,0.3040937688152503
101,sparse,WTA,2,304,tessels0162,s15,,0.2815241197612495,0.28100238535358535
102,sparse,ridge,0,304,tessels0162,s17,12.0,0.3371248952674156,0.3209628111920312
103,sparse,lasso,1,304,tessels0162,s17,-3.0,0.2746198831904529,0.24919898662516887
104,sparse,WTA,2,304,tessels0162,s17,,0.2508147859620813,0.21624682979922918
105,sparse,ridge,0,304,tessels0162,s18,12.0,0.3473162935266844,0.3140531784016784
106,sparse,lasso,1,304,tessels0162,s18,-3.0,0.287241865272291,0.24229972177066889
